"Name","Status","DisplayName"
"AarSvc_d2d8bf2","Stopped","Agent Activation Runtime_d2d8bf2"
"AdobeARMservice","Running","Adobe Acrobat Update Service"
"AJRouter","Stopped","AllJoyn Router Service"
"ALG","Stopped","Application Layer Gateway Service"
"AppIDSvc","Stopped","Application Identity"
"Appinfo","Running","Application Information"
"AppMgmt","Stopped","Application Management"
"AppReadiness","Stopped","App Readiness"
"AppVClient","Stopped","Microsoft App-V Client"
"AppXSvc","Running","AppX Deployment Service (AppXSVC)"
"AssignedAccessManagerSvc","Stopped","AssignedAccessManager Service"
"AudioEndpointBuilder","Running","Windows Audio Endpoint Builder"
"Audiosrv","Running","Windows Audio"
"autotimesvc","Stopped","Cellular Time"
"AxInstSV","Stopped","ActiveX Installer (AxInstSV)"
"AzureAttestService","Running","AzureAttestService"
"BcastDVRUserService_d2d8bf2","Stopped","GameDVR and Broadcast User Service_d2d8bf2"
"BDESVC","Stopped","BitLocker Drive Encryption Service"
"BFE","Running","Base Filtering Engine"
"BITS","Running","Background Intelligent Transfer Service"
"BluetoothUserService_d2d8bf2","Stopped","Bluetooth User Support Service_d2d8bf2"
"BrokerInfrastructure","Running","Background Tasks Infrastructure Service"
"BTAGService","Stopped","Bluetooth Audio Gateway Service"
"BthAvctpSvc","Running","AVCTP service"
"bthserv","Stopped","Bluetooth Support Service"
"camsvc","Running","Capability Access Manager Service"
"CaptureService_d2d8bf2","Stopped","CaptureService_d2d8bf2"
"cbdhsvc_d2d8bf2","Running","Clipboard User Service_d2d8bf2"
"CDPSvc","Running","Connected Devices Platform Service"
"CDPUserSvc_d2d8bf2","Running","Connected Devices Platform User Service_d2d8bf2"
"CertPropSvc","Stopped","Certificate Propagation"
"ClickToRunSvc","Running","Microsoft Office Click-to-Run Service"
"ClipSVC","Stopped","Client Licence Service (ClipSVC)"
"cloudidsvc","Stopped","Microsoft Cloud Identity Service"
"COMSysApp","Stopped","COM+ System Application"
"ConsentUxUserSvc_d2d8bf2","Stopped","ConsentUX User Service_d2d8bf2"
"CoreMessagingRegistrar","Running","CoreMessaging"
"cplspcon","Running","Intel(R) Content Protection HDCP Service"
"CredentialEnrollmentManagerUserSvc_d2d8bf2","Stopped","CredentialEnrollmentManagerUserSvc_d2d8bf2"
"CryptSvc","Running","Cryptographic Services"
"CscService","Stopped","Offline Files"
"DcomLaunch","Running","DCOM Server Process Launcher"
"defragsvc","Stopped","Optimise drives"
"DellClientManagementService","Running","Dell Client Management Service"
"DellTechHub","Running","Dell TechHub"
"DeviceAssociationBrokerSvc_d2d8bf2","Stopped","DeviceAssociationBroker_d2d8bf2"
"DeviceAssociationService","Running","Device Association Service"
"DeviceInstall","Stopped","Device Install Service"
"DevicePickerUserSvc_d2d8bf2","Stopped","DevicePicker_d2d8bf2"
"DevicesFlowUserSvc_d2d8bf2","Stopped","DevicesFlow_d2d8bf2"
"DevQueryBroker","Stopped","DevQuery Background Discovery Broker"
"Dhcp","Running","DHCP Client"
"diagnosticshub.standardcollector.service","Stopped","Microsoft (R) Diagnostics Hub Standard Collector Service"
"diagsvc","Stopped","Diagnostic Execution Service"
"DiagTrack","Running","Connected User Experiences and Telemetry"
"DialogBlockingService","Stopped","DialogBlockingService"
"DispBrokerDesktopSvc","Running","Display Policy Service"
"DisplayEnhancementService","Running","Display Enhancement Service"
"DmEnrollmentSvc","Stopped","Device Management Enrollment Service"
"dmwappushservice","Stopped","Device Management Wireless Application Protocol (WAP) Push message Routing Service"
"Dnscache","Running","DNS Client"
"DoSvc","Stopped","Delivery Optimization"
"dot3svc","Stopped","Wired AutoConfig"
"DPS","Running","Diagnostic Policy Service"
"DSAService","Running","Intel(R) Driver & Support Assistant"
"DSAUpdateService","Running","Intel(R) Driver & Support Assistant Updater"
"DsmSvc","Stopped","Device Setup Manager"
"DsSvc","Running","Data Sharing Service"
"DusmSvc","Running","Data Usage"
"EapHost","Stopped","Extensible Authentication Protocol"
"edgeupdate","Stopped","Microsoft Edge Update Service (edgeupdate)"
"edgeupdatem","Stopped","Microsoft Edge Update Service (edgeupdatem)"
"EFS","Stopped","Encrypting File System (EFS)"
"embeddedmode","Stopped","Embedded Mode"
"EntAppSvc","Stopped","Enterprise App Management Service"
"ESRV_SVC_QUEENCREEK","Running","Energy Server Service queencreek"
"EventLog","Running","Windows Event Log"
"EventSystem","Running","COM+ Event System"
"Fax","Stopped","Fax"
"fdPHost","Running","Function Discovery Provider Host"
"FDResPub","Running","Function Discovery Resource Publication"
"fhsvc","Stopped","File History Service"
"FileSyncHelper","Stopped","FileSyncHelper"
"FontCache","Running","Windows Font Cache Service"
"FrameServer","Stopped","Windows Camera Frame Server"
"FrameServerMonitor","Stopped","Windows Camera Frame Server Monitor"
"GoogleChromeElevationService","Stopped","Google Chrome Elevation Service (GoogleChromeElevationService)"
"GoogleUpdaterInternalService144.0.7547.0","Stopped","Google updater internal service (GoogleUpdaterInternalService144.0.7547.0)"
"GoogleUpdaterService144.0.7547.0","Stopped","Google updater service (GoogleUpdaterService144.0.7547.0)"
"gpsvc","Running","Group Policy Client"
"GraphicsPerfSvc","Stopped","GraphicsPerfSvc"
"hidserv","Stopped","Human Interface Device Service"
"HvHost","Stopped","HV Host Service"
"iaStorAfsService","Stopped","Intel(R) Optane(TM) Memory Service"
"icssvc","Stopped","Windows Mobile Hotspot Service"
"igccservice","Running","Intel(R) Graphics Command Center Service"
"igfxCUIService2.0.0.0","Running","Intel(R) HD Graphics Control Panel Service"
"IKEEXT","Running","IKE and AuthIP IPsec Keying Modules"
"InstallService","Running","Microsoft Store Install Service"
"Intel(R) SUR QC SAM","Stopped","Intel(R) SUR QC Software Asset Manager"
"IntelGraphicsSoftwareService","Running","Intel? Graphics Software Service"
"iphlpsvc","Running","IP Helper"
"IpxlatCfgSvc","Stopped","IP Translation Configuration Service"
"iTopDataRecoveryService5","Running","iTop Data Recovery Service 5"
"KeyIso","Running","CNG Key Isolation"
"KtmRm","Stopped","KtmRm for Distributed Transaction Coordinator"
"LanmanServer","Running","Server"
"LanmanWorkstation","Running","Workstation"
"lfsvc","Running","Geolocation Service"
"LicenseManager","Running","Windows License Manager Service"
"lltdsvc","Stopped","Link-Layer Topology Discovery Mapper"
"lmhosts","Running","TCP/IP NetBIOS Helper"
"LSM","Running","Local Session Manager"
"LxpSvc","Stopped","Language Experience Service"
"MapsBroker","Stopped","Downloaded Maps Manager"
"McpManagementService","Stopped","McpManagementService"
"MDCoreSvc","Stopped","Microsoft Defender Core Service"
"MessagingService_d2d8bf2","Stopped","MessagingService_d2d8bf2"
"MicrosoftEdgeElevationService","Stopped","Microsoft Edge Elevation Service (MicrosoftEdgeElevationService)"
"MixedRealityOpenXRSvc","Stopped","Windows Mixed Reality OpenXR Service"
"MongoDB","Running","MongoDB Server (MongoDB)"
"mpssvc","Running","Windows Defender Firewall"
"MSDTC","Stopped","Distributed Transaction Coordinator"
"MSiSCSI","Stopped","Microsoft iSCSI Initiator Service"
"msiserver","Stopped","Windows Installer"
"MsKeyboardFilter","Stopped","Microsoft Keyboard Filter"
"MsMpiLaunchSvc","Stopped","MS-MPI Launch Service"
"NaturalAuthentication","Stopped","Natural Authentication"
"NcaSvc","Stopped","Network Connectivity Assistant"
"NcbService","Running","Network Connection Broker"
"NcdAutoSetup","Running","Network Connected Devices Auto-Setup"
"Netlogon","Stopped","Netlogon"
"Netman","Running","Network Connections"
"netprofm","Running","Network List Service"
"NetSetupSvc","Stopped","Network Setup Service"
"NetTcpPortSharing","Stopped","Net.Tcp Port Sharing Service"
"NgcCtnrSvc","Stopped","Microsoft Passport Container"
"NgcSvc","Stopped","Microsoft Passport"
"NlaSvc","Stopped","Network Location Awareness"
"NPSMSvc_d2d8bf2","Running","NPSMSvc_d2d8bf2"
"nsi","Running","Network Store Interface Service"
"OneDrive Updater Service","Stopped","OneDrive Updater Service"
"OneSyncSvc_d2d8bf2","Running","Sync Host_d2d8bf2"
"p2pimsvc","Stopped","Peer Networking Identity Manager"
"p2psvc","Stopped","Peer Networking Grouping"
"P9RdrService_d2d8bf2","Stopped","P9RdrService_d2d8bf2"
"PcaSvc","Running","Program Compatibility Assistant Service"
"PeerDistSvc","Stopped","BranchCache"
"PenService_d2d8bf2","Stopped","PenService_d2d8bf2"
"perceptionsimulation","Stopped","Windows Perception Simulation Service"
"PerfHost","Stopped","Performance Counter DLL Host"
"PhoneSvc","Stopped","Phone Service"
"PimIndexMaintenanceSvc_d2d8bf2","Running","Contact Data_d2d8bf2"
"pla","Stopped","Performance Logs & Alerts"
"PlugPlay","Running","Plug and Play"
"PNRPAutoReg","Stopped","PNRP Machine Name Publication Service"
"PNRPsvc","Stopped","Peer Name Resolution Protocol"
"PolicyAgent","Running","IPsec Policy Agent"
"Power","Running","Power"
"PrintNotify","Stopped","Printer Extensions and Notifications"
"PrintWorkflowUserSvc_d2d8bf2","Stopped","PrintWorkflow_d2d8bf2"
"ProfSvc","Running","User Profile Service"
"PushToInstall","Stopped","Windows PushToInstall Service"
"QHActiveDefense","Running","360 Total Security"
"QHProtected","Stopped","QHProtected"
"QWAVE","Stopped","Quality Windows Audio Video Experience"
"RasAuto","Stopped","Remote Access Auto Connection Manager"
"RasMan","Running","Remote Access Connection Manager"
"RemoteAccess","Stopped","Routing and Remote Access"
"RemoteRegistry","Stopped","Remote Registry"
"RetailDemo","Stopped","Retail Demo Service"
"RmSvc","Running","Radio Management Service"
"RpcEptMapper","Running","RPC Endpoint Mapper"
"RpcLocator","Stopped","Remote Procedure Call (RPC) Locator"
"RpcSs","Running","Remote Procedure Call (RPC)"
"RstMwService","Running","Intel(R) Storage Middleware Service"
"SamSs","Running","Security Accounts Manager"
"SCardSvr","Stopped","Smart Card"
"ScDeviceEnum","Stopped","Smart Card Device Enumeration Service"
"Schedule","Running","Task Scheduler"
"SCPolicySvc","Stopped","Smart Card Removal Policy"
"SDRSVC","Stopped","Windows Backup"
"seclogon","Running","Secondary Log-on"
"SecurityHealthService","Running","Windows Security Service"
"SEMgrSvc","Stopped","Payments and NFC/SE Manager"
"SENS","Running","System Event Notification Service"
"Sense","Stopped","Windows Defender Advanced Threat Protection Service"
"SensorDataService","Stopped","Sensor Data Service"
"SensorService","Stopped","Sensor Service"
"SensrSvc","Stopped","Sensor Monitoring Service"
"SessionEnv","Stopped","Remote Desktop Configuration"
"SgrmBroker","Running","System Guard Runtime Monitor Broker"
"SharedAccess","Stopped","Internet Connection Sharing (ICS)"
"SharedRealitySvc","Stopped","Spatial Data Service"
"ShellHWDetection","Running","Shell Hardware Detection"
"shpamsvc","Stopped","Shared PC Account Manager"
"smphost","Running","Microsoft Storage Spaces SMP"
"SmsRouter","Stopped","Microsoft Windows SMS Router Service."
"SNMPTrap","Stopped","SNMP Trap"
"spectrum","Stopped","Windows Perception Service"
"Spooler","Running","Print Spooler"
"sppsvc","Stopped","Software Protection"
"SQLAgent$SQLEXPRESS","Stopped","SQL Server Agent (SQLEXPRESS)"
"SSDPSRV","Running","SSDP Discovery"
"ssh-agent","Stopped","OpenSSH Authentication Agent"
"SstpSvc","Running","Secure Socket Tunneling Protocol Service"
"StateRepository","Running","State Repository Service"
"StiSvc","Running","Windows Image Acquisition (WIA)"
"StorSvc","Running","Storage Service"
"SupportAssistAgent","Running","Dell SupportAssist"
"svsvc","Stopped","Spot Verifier"
"swprv","Stopped","Microsoft Software Shadow Copy Provider"
"SysMain","Running","SysMain"
"SystemEventsBroker","Running","System Events Broker"
"SystemUsageReportSvc_QUEENCREEK","Running","Intel(R) System Usage Report Service SystemUsageReportSvc_QUEENCREEK"
"TabletInputService","Running","Touch Keyboard and Handwriting Panel Service"
"TapiSrv","Stopped","Telephony"
"TermService","Stopped","Remote Desktop Services"
"Themes","Running","Themes"
"TieringEngineService","Stopped","Storage Tiers Management"
"TimeBrokerSvc","Running","Time Broker"
"TokenBroker","Running","Web Account Manager"
"TrkWks","Running","Distributed Link Tracking Client"
"TroubleshootingSvc","Stopped","Recommended Troubleshooting Service"
"TrustedInstaller","Stopped","Windows Modules Installer"
"tzautoupdate","Stopped","Auto Time Zone Updater"
"UdkUserSvc_d2d8bf2","Running","Udk User Service_d2d8bf2"
"UevAgentService","Stopped","User Experience Virtualization Service"
"UmRdpService","Stopped","Remote Desktop Services UserMode Port Redirector"
"UnistoreSvc_d2d8bf2","Running","User Data Storage_d2d8bf2"
"upnphost","Stopped","UPnP Device Host"
"USER_ESRV_SVC_QUEENCREEK","Stopped","User Energy Server Service queencreek"
"UserDataSvc_d2d8bf2","Running","User Data Access_d2d8bf2"
"UserManager","Running","User Manager"
"UsoSvc","Running","Update Orchestrator Service"
"VacSvc","Stopped","Volumetric Audio Compositor Service"
"VaultSvc","Running","Credential Manager"
"vds","Stopped","Virtual Disk"
"vmicguestinterface","Stopped","Hyper-V Guest Service Interface"
"vmicheartbeat","Stopped","Hyper-V Heartbeat Service"
"vmickvpexchange","Stopped","Hyper-V Data Exchange Service"
"vmicrdv","Stopped","Hyper-V Remote Desktop Virtualization Service"
"vmicshutdown","Stopped","Hyper-V Guest Shutdown Service"
"vmictimesync","Stopped","Hyper-V Time Synchronization Service"
"vmicvmsession","Stopped","Hyper-V PowerShell Direct Service"
"vmicvss","Stopped","Hyper-V Volume Shadow Copy Requestor"
"VSInstallerElevationService","Stopped","Visual Studio Installer Elevation Service"
"VSS","Stopped","Volume Shadow Copy"
"W32Time","Stopped","Windows Time"
"WaaSMedicSvc","Stopped","Windows Update Medic Service"
"WalletService","Stopped","WalletService"
"WarpJITSvc","Stopped","Warp JIT Service"
"wbengine","Stopped","Block Level Backup Engine Service"
"WbioSrvc","Stopped","Windows Biometric Service"
"Wcmsvc","Running","Windows Connection Manager"
"wcncsvc","Running","Windows Connect Now - Config Registrar"
"WdiServiceHost","Stopped","Diagnostic Service Host"
"WdiSystemHost","Running","Diagnostic System Host"
"WdNisSvc","Stopped","Microsoft Defender Antivirus Network Inspection Service"
"WebClient","Running","WebClient"
"Wecsvc","Stopped","Windows Event Collector"
"WEPHOSTSVC","Stopped","Windows Encryption Provider Host Service"
"wercplsupport","Stopped","Problem Reports Control Panel Support"
"WerSvc","Stopped","Windows Error Reporting Service"
"WFDSConMgrSvc","Stopped","Wi-Fi Direct Services Connection Manager Service"
"WiaRpc","Stopped","Still Image Acquisition Events"
"WinDefend","Stopped","Microsoft Defender Antivirus Service"
"WinHttpAutoProxySvc","Running","WinHTTP Web Proxy Auto-Discovery Service"
"Winmgmt","Running","Windows Management Instrumentation"
"WinRM","Stopped","Windows Remote Management (WS-Management)"
"wisvc","Stopped","Windows Insider Service"
"WlanSvc","Running","WLAN AutoConfig"
"wlidsvc","Stopped","Microsoft Account Sign-in Assistant"
"wlpasvc","Stopped","Local Profile Assistant Service"
"WManSvc","Stopped","Windows Management Service"
"wmiApSrv","Stopped","WMI Performance Adapter"
"WMPNetworkSvc","Stopped","Windows Media Player Network Sharing Service"
"workfolderssvc","Stopped","Work Folders"
"WpcMonSvc","Stopped","Parental Controls"
"WPDBusEnum","Stopped","Portable Device Enumerator Service"
"WpnService","Running","Windows Push Notifications System Service"
"WpnUserService_d2d8bf2","Running","Windows Push Notifications User Service_d2d8bf2"
"wscsvc","Running","Security Center"
"WSearch","Running","Windows Search"
"wuauserv","Stopped","Windows Update"
"WwanSvc","Stopped","WWAN AutoConfig"
"XblAuthManager","Stopped","Xbox Live Auth Manager"
"XblGameSave","Stopped","Xbox Live Game Save"
"XboxGipSvc","Stopped","Xbox Accessory Management Service"
"XboxNetApiSvc","Stopped","Xbox Live Networking Service"
